docs,latitude,longitude
Doc1799,41,-71
Doc1799,38,-77
Doc1799,60,-175
Doc1795,-11,135
Doc1795,60,100
Doc1795,66,25
Doc1795,45,7
Doc1795,50,3
Doc1795,51,0
Doc1795,68,-2
Doc1795,41,-71
Doc1795,30,-87
Doc1795,39,-98
Doc1795,46,-100
Doc1795,60,-113
Doc1795,58,-134
Doc1795,64,-147
Doc1795,64,-150
Doc1796,-11,135
Doc1796,41,-71
Doc1796,64,-150
Doc1796,63,-161
Doc2914,67,20
Doc2914,62,15
Doc2914,0,0
Doc2914,45,-73
Doc2914,43,-114
Doc924,-37,145
Doc924,30,120
Doc924,45,7
Doc924,50,3
Doc924,85,0
Doc924,53,-1
Doc924,54,-2
Doc924,-45,-15
Doc924,41,-71
Doc924,40,-74
Doc924,38,-77
Doc924,39,-78
Doc924,39,-98
Doc924,46,-100
Doc924,47,-122
Doc924,64,-147
Doc233,13,144
Doc233,6,2
Doc233,23,-82
Doc233,30,-88
Doc233,32,-89
Doc233,39,-98
Doc233,47,-122
Doc233,64,-150
Doc1265,0,0
Doc1265,41,-71
Doc1265,39,-105
Doc241,0,0
Doc241,41,-71
Doc241,39,-105
Doc1510,30,31
Doc1510,0,0
Doc1510,41,-71
Doc1510,30,-107
Doc1510,32,-116
Doc1510,64,-150
Doc2941,39,-98
Doc998,-11,135
Doc998,76,126
Doc998,60,100
Doc998,74,36
Doc998,62,10
Doc998,45,7
Doc998,0,0
Doc998,41,-71
Doc998,38,-77
Doc998,39,-78
Doc998,39,-98
Doc998,46,-100
Doc998,52,-102
Doc998,60,-113
Doc998,37,-119
Doc998,37,-122
Doc998,72,-136
Doc998,64,-150
Doc998,68,-167
Doc1006,29,89
Doc1006,45,7
Doc1006,0,0
Doc1006,41,-71
Doc1006,38,-77
Doc1006,39,-105
Doc1006,64,-150
Doc480,29,89
Doc480,45,7
Doc480,0,0
Doc480,41,-71
Doc480,38,-77
Doc480,39,-105
Doc480,64,-150
Doc2566,4,101
Doc2566,38,-77
Doc2566,32,-79
Doc2566,38,-90
Doc2566,39,-98
Doc1805,59,10
Doc1805,0,0
Doc1805,41,-71
Doc933,45,7
Doc933,0,0
Doc933,41,-71
Doc933,38,-77
Doc933,37,-122
Doc933,64,-150
Doc933,68,-167
Doc1511,-32,152
Doc1511,13,144
Doc1511,6,2
Doc1511,0,0
Doc1511,41,-71
Doc1511,23,-82
Doc1511,39,-98
Doc1511,47,-122
Doc1511,64,-150
Doc1694,35,139
Doc1694,36,127
Doc1694,35,105
Doc1694,29,89
Doc1694,7,21
Doc1694,45,7
Doc1694,0,0
Doc1694,39,-76
Doc1694,38,-90
Doc1694,30,-95
Doc1694,39,-98
Doc2722,51,0
Doc2722,37,-119
Doc2722,36,-121
Doc416,0,0
Doc416,36,-76
Doc416,37,-122
Doc992,0,0
Doc992,37,-119
Doc992,38,-123
Doc1804,13,100
Doc1804,64,26
Doc1804,60,24
Doc1804,59,10
Doc1804,45,7
Doc1804,85,0
Doc1804,43,-70
Doc1804,41,-71
Doc1804,46,-100
Doc1804,64,-150
Doc895,85,0
Doc895,41,-71
Doc1800,60,98
Doc1800,41,-71
Doc1800,47,-122
Doc1800,64,-147
Doc1801,-33,151
Doc1801,60,98
Doc1801,41,-71
Doc1801,38,-77
Doc1801,47,-122
Doc3313,64,-150
Doc1803,52,0
Doc1803,68,-2
Doc1803,41,-71
Doc1803,30,-95
Doc1803,57,-135
Doc1803,70,-147
Doc797,27,-82
Doc1267,-82,8
Doc1267,0,0
Doc1267,41,-71
Doc1267,39,-105
Doc1003,0,0
Doc1003,41,-71
Doc1003,39,-105
Doc481,0,0
Doc481,41,-71
Doc481,39,-105
Doc532,-82,8
Doc532,0,0
Doc532,41,-71
Doc532,39,-105
Doc2114,44,-92
Doc2094,41,-72
Doc2094,36,-76
Doc2094,39,-98
Doc2560,38,-90
Doc2560,33,-118
Doc2560,3,-132
Doc2560,20,-156
Doc2295,36,28
Doc2295,45,12
Doc2295,29,-90
Doc2295,41,-95
Doc2295,39,-98
Doc2670,41,43
Doc2670,42,-71
Doc2670,28,-82
